"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5c8aef0feb39314bf78ac468","ab7f041c-fd99-4c96-932d-38be7e091c6c","PHYSICAL","originalart-sarathurman","tg910oduq2n66cz7phhs6so8fwq3z1","""Sunrise Over ATX"" 24x36 Canvas Wall Art and Austin Art","<p class="""" style=""white-space:pre-wrap;"">This 24x36 canvas wall art qualifies as Austin Art. The Austin sunrise was painted over an original acrylic abstract. This piece of art for sale is unique because of the underlay of a bright and bold abstract painting. The colors of this palette knife painting are vibrant and organic. The Austin skyline outline is painted by a self taught artist who started painting just over four years ago. This original canvas art is framed in a rough cedar frame with Jacobian stain. Inspired by a ariel photograph of the spectacular Austin skyline, this cityscape is layered with a boldness that makes the viewer know the power of a sunrise over Austin, Texas. This painting symbolizes a new day is here for us to enjoy in our gorgeous state capital with a river running through our beloved city. Do you need a new fresh start? Let this painting bring you that power of knowing the sun is rising new every day over our lives. </p>","SQ7765905","","","","","","","1097.00","0.00","No","1","Cityscapes Series","Austin, Texas, City skyline, buy art online","12.0","40.0","28.0","4.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d465f9e8eb454000152c5d5/1569252929019/IMG_1715.jpg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5c8af3211905f443895cf73d/1569250812458/Sunrise+over+ATX.jpg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d465fb74d40e50001d007eb/1564893112557/IMG_1717.jpg"
"5c92465024a694ccc84ec3ad","7125fdbb-5f20-4e98-804b-54ac5941cfcc","PHYSICAL","originalart-sarathurman","my-first-love","""My First Love"" Original Canvas Wall Art 24x36","<p style=""white-space:pre-wrap;"">This one of several guardian angel paintings in my canvas wall art collection. This palette knife painting angel painting will bring joy and peace into your home. I am a self taught artist using acrylic paint for my contemporary art for sale. I pray and ask God for the name of the angels of God I place in my paintings. This piece of whimsical spiritual wall art is on 1.5 inch gallery wrapped canvas ready to hang as a piece angel art for your contemporary home decor.</p>","SQ6997804","","","","","","","547.00","0.00","No","1","Angel Series","","8.01","38.0","26.0","3.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5c92468ceb39313f75975fd9/1553092617721/My%2BFirst%2BLove.jpg"
"5c92516be5e5f0f3360a20bf","712295b1-9ddd-418c-ad0e-f4e6ce0d5abd","PHYSICAL","originalart-sarathurman","resounding-love-angel-painting-20x24","""Resounding Love"" Angel Painting 20x24","<p style=""white-space:pre-wrap;"">This angel canvas painting speaks of the God’s Love that never ends. This canvas wall art created by a self taught artist as a palette knife painting. Guardian angel art and spiritual wall art bring peace into your contemporary home decor. This gallery wrapped canvas is 1.5 inches wide and ready to hang as a part of your favorite home decor. </p>","SQ1054225","","","","","","","347.00","0.00","No","1","Angel Series","","8.01","24.0","20.0","2.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5c925184fa0d60694ef17523/1569250901477/resounding+love+20x24.jpg"
"5c9255b441920209b55a4e6d","3ad2b7e8-e1cf-4d64-bfb4-9c4f3793e368","PHYSICAL","originalart-sarathurman","every-breath-i-take-angel-painting-with-palette-knife-painting-24x36","""Every Breath I Take"" Angel Painting with Palette Knife Painting 24x36","<p class="""" style=""white-space:pre-wrap;"">24x36 acrylic on gallery wrapped canvas</p><p class="""" style=""white-space:pre-wrap;"">This canvas wall art is decorating the wall of our PAC Medical Group in our little Texas town of Wimberley,  We get to bring paintings for sale into public places and I painted this spiritual wall art with the angel painting to bring peace into this medical office as contemporary  decor.  This guardian angel art was created by a self taught artist who uses a palette knife primitive  style of art.. Can you feel the safety and protection of the Lord by looking at this painting. May it increase your  knowledge that God is aware of “Every Breath I Take”. He wants us to praise Him; in fact, He created us to give Him praise with “Every Breath I Take”.  The shades of turquoise and tans in this painting bring peace and calmness into the room. </p>","SQ7312805","","","","","","","547.00","0.00","No","1","Angel Series","","10.01","36.0","24.0","3.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5c9255f99b747a252e015a38/1564537939277/every%2Bbreath%2BI%2Btake%2B24x36.jpg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5c9256bc71c10bbfbbb66da0/1553094417823/side+view+of+Every+Breath+I+Take.jpg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5c92570e6e9a7f5043590f3b/1565066330291/in+PAC+Medical+Every+Breath+I+Take.jpg"
"5d451f54fc33c900013638bc","49df42b1-d189-47a4-9f79-b38f63ff48f2","PHYSICAL","originalart-sarathurman","lwdhqyeiawq6ngsn0zhcqe0cosgxet","""Face to Face"" 24x30 Contemporary  Abstract","<p class="""" style=""white-space:pre-wrap;"">24x30 acrylic on gallery wrapped canvas<br>I painted this contemporary abstract art after I asked God to show me new and fresh abstract art. The anchor for this prophetic painting is from John 1.  God is  speaking to the Word about creating everything in a “Face to Face” encounter. This painting was created with a palette knife during a worship service at Bethel Austin Church on June 15, 2019. God gives us special assignments, sometimes we learn more after we have completed them. My dear friend, Donna Wilcox passed from this earthly life from brain cancer  the evening I was creating this  prophetic painting at church. She is now “Face to Face” with the Great Creator. I see angels dancing within this painting and feel such excitement of the energy within the layers of deep blues and tan colors. May “Face to Face” bless your spirit as you see it with the hope and knowledge we will all be “Face to Face” with our Maker. </p>","SQ2339721","","","","","","","497.00","0.00","No","1","Abstract Series","","8.01","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d452336b0f59800018d9c1d/1569252627873/IMG_1676.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d452271831efb00010e1b1c/1564811898624/Face+to+Face+cropped.jpg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4522f48fefae000111893e/1564812055562/Face+to+Face.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4522f44d40e50001c3a996/1564812055836/IMG_1668.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d452314b0f59800018d9b39/1564812089817/IMG_1670.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d45231453ea280001059415/1564812093671/IMG_1671.jpeg"
"5d452ea73160290001321954","6cfe2b04-f877-40a0-9005-c7d0e0bac572","PHYSICAL","originalart-sarathurman","ktxqjocinxq8svmy7gwvbicvldqn3z","""Living Expressions"" 24x36 Contemporary Abstract Painting","<p class="""" style=""white-space:pre-wrap;"">24x36 acrylic on gallery wrapped canvas </p><p class="""" style=""white-space:pre-wrap;"">As I was painting this contemporary abstract painting at Bethel Austin Church during worship, God showed me the beginning of creation from the scripture in the Bible, John 1:1. We are all “Living Expressions” from our Creator. Our purpose in life is to carry out the message of love in every way and every place since we are  “Living Expressions” of HIs love. This soothing and calming piece of art will add peace to your contemporary home decor or modern office space. <br>Signed on back.  Can be displayed in both portrait or landscape orientation.</p>","SQ0331761","","","","","","","547.00","0.00","No","1","Abstract Series","","10.01","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d452f4e53ea28000105e322/1569252466980/IMG_1687.jpg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d452f84f352bf00011cb7c6/1564815283787/IMG_1685.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d466e5b8560f60001419de7/1564896933870/IMG_1743.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d466e5bb176780001069ded/1569253013199/IMG_1744.jpeg"
"5d46605bf352bf000128c442","d30da0a9-909c-4211-8a67-0dbdddc80733","PHYSICAL","originalart-sarathurman","cultivate-joy","""Cultivate Joy"" 20x20 Abstract Floral","<p class="""" style=""white-space:pre-wrap;"">This abstract floral is layered acrylic using a palette knife on a 20x20 on gallery wrapped canvas. Full of depth and beauty as this floral will bring joy into any setting. The one flower standing out has more values of turquoise than the other three flowers. Don’t we all want to cultivate joy in our lives? This painting was created with joy and direction from the Great Creator. Just right for a special spot for this r contemporary art piece to enhance and brighten your home decor. </p>","SQ4892421","","","","","","","297.00","0.00","No","1","Floral Series","","8.01","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4661e08eb454000152d81f/1564893682678/IMG_1768.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d46615bd73cd500011d6f3a/1569251244126/Cultivate+Joy.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4661836a811c0001f934fc/1564893614522/Cultivate+Joy+3.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d466183b0f59800019a107f/1564893612757/Cultivate+Joy+4.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4661aaeebdc300016d900e/1564893644246/Cultivate+Joy.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4661ab8560f6000141387b/1564893641052/IMG_1765.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4661c653ea280001122f0c/1564893667255/IMG_1766.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4661c98560f600014139a4/1564893671312/IMG_1767.jpeg"
"5d4662a46a811c0001f93df2","714cb8b3-d07d-464b-840b-352a025c1310","PHYSICAL","originalart-sarathurman","4rjkjw8ndm3sbu0mbp9lfvhuuh1xrm","""And Love Comes Down"" 12x36 Contemporary Abstract Floral Red Poppies","<p class="""" style=""white-space:pre-wrap;"">12x36 acrylic on gallery wrapped canvas</p><p class="""" style=""white-space:pre-wrap;"">This contemporary abstract with red poppies, all created with a palette knife brings great joy into the room. This versatile piece of art can hang either horizontally or vertically. I loved the bright colors and placement of the flowers which seemed like LOVE was falling softly onto the viewer as I layered the red poppies as the final layer. Vertically, this painting has a figure emerging under the flowers. Angels are always around us, sometimes seen and unseen by human eyes. Can you see the angels? May love come down on you and your heart as you soak in this original red poppies abstract floral painting.</p>","SQ3936405","","","","","","","327.00","0.00","No","1","Floral Series","","10.01","36.0","12.0","3.0","Yes","https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4663448eb454000152e2c4/1569252337104/IMG_1777.jpg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4662b3d73cd500011d78c8/1564893895385/ https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4662d5eebdc300016d9a17/1567544778015/IMG_1771.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4662d5b1767800010647b4/1569252657071/IMG_1784.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4662f0d73cd500011d7a98/1567544778023/IMG_1773.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d4663036a811c0001f9410d/1567544778026/IMG_1774.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d46631cb1767800010649a2/1567544778025/IMG_1775.jpeg https://static1.squarespace.com/static/587d31029de4bb54956331a2/597185a04c0dbf7175f3b4c1/5d46632ab1767800010649f2/1567544778024/IMG_1776.jpeg"
